gir1.2-gtk-3.0:amd64	3.24.41-4ubuntu1.3	gtk+3.0	3.24.41-4ubuntu1.3
gir1.2-harfbuzz-0.0:amd64	8.3.0-2build2	harfbuzz	8.3.0-2build2
gir1.2-javascriptcoregtk-4.1:amd64	2.52.6-0ubuntu0.24.04.1	webkit2gtk	2.52.6-0ubuntu0.24.04.1
gir1.2-pango-1.0:amd64	1.52.1+ds-1build1	pango1.0	1.52.1+ds-1build1
gir1.2-rsvg-2.0:amd64	2.58.0+dfsg-1build1	librsvg	2.58.0+dfsg-1build1
gir1.2-soup-3.0:amd64	3.4.4-5ubuntu0.7	libsoup3	3.4.4-5ubuntu0.7
gir1.2-webkit2-4.1:amd64	2.52.6-0ubuntu0.24.04.1	webkit2gtk	2.52.6-0ubuntu0.24.04.1
git	1:2.43.0-1ubuntu7.3	git	1:2.43.0-1ubuntu7.3
git-man	1:2.43.0-1ubuntu7.3	git	1:2.43.0-1ubuntu7.3
glib-networking:amd64	2.80.0-1build1	glib-networking	2.80.0-1build1
glib-networking-common	2.80.0-1build1	glib-networking	2.80.0-1build1
glib-networking-services	2.80.0-1build1	glib-networking	2.80.0-1build1
gobject-introspection:amd64	1.80.1-1	gobject-introspection	1.80.1-1
gobject-introspection-bin	1.80.1-1	gobject-introspection	1.80.1-1
gpgv	2.4.4-2ubuntu17.4	gnupg2	2.4.4-2ubuntu17.4
grep	3.11-4build1	grep	3.11-4build1
gsettings-desktop-schemas	46.1-0ubuntu1	gsettings-desktop-schemas	46.1-0ubuntu1
gstreamer1.0-plugins-base:amd64	1.24.2-1ubuntu0.4	gst-plugins-base1.0	1.24.2-1ubuntu0.4
gstreamer1.0-plugins-good:amd64	1.24.2-1ubuntu1.5	gst-plugins-good1.0	1.24.2-1ubuntu1.5
gtk-update-icon-cache	3.24.41-4ubuntu1.3	gtk+3.0	3.24.41-4ubuntu1.3
gzip	1.12-1ubuntu3.2	gzip	1.12-1ubuntu3.2
hicolor-icon-theme	0.17-2	hicolor-icon-theme	0.17-2
hostname	3.23+nmu2ubuntu2	hostname	3.23+nmu2ubuntu2
humanity-icon-theme	0.6.16	humanity-icon-theme	0.6.16
hunspell-en-us	1:2020.12.07-2	scowl	2020.12.07-2
icu-devtools	74.2-1ubuntu3.1	icu	74.2-1ubuntu3.1
init-system-helpers	1.66ubuntu1	init-system-helpers	1.66ubuntu1
iso-codes	4.16.0-1	iso-codes	4.16.0-1
libaa1:amd64	1.4p5-51.1	aalib	1.4p5-51.1
libacl1:amd64	2.3.2-1build1.1	acl	2.3.2-1build1.1
libaom-dev:amd64	3.8.2-2ubuntu0.1	aom	3.8.2-2ubuntu0.1
libaom3:amd64	3.8.2-2ubuntu0.1	aom	3.8.2-2ubuntu0.1
libapparmor1:amd64	4.0.1really4.0.1-0ubuntu0.24.04.7	apparmor	4.0.1really4.0.1-0ubuntu0.24.04.7
libapt-pkg6.0t64:amd64	2.8.3	apt	2.8.3
libasan8:amd64	14.2.0-4ubuntu2~24.04.1	gcc-14	14.2.0-4ubuntu2~24.04.1
libasound2-data	1.2.11-1ubuntu0.3	alsa-lib	1.2.11-1ubuntu0.3
libasound2t64:amd64	1.2.11-1ubuntu0.3	alsa-lib	1.2.11-1ubuntu0.3
libaspell15:amd64	0.60.8.1-1build1	aspell	0.60.8.1-1build1
libass9:amd64	1:0.17.1-2build1	libass	1:0.17.1-2build1
libassuan0:amd64	2.5.6-1build1	libassuan	2.5.6-1build1
libasyncns0:amd64	0.8-6build4	libasyncns	0.8-6build4
libatk-bridge2.0-0t64:amd64	2.52.0-1build1	at-spi2-core	2.52.0-1build1
libatk-bridge2.0-dev:amd64	2.52.0-1build1	at-spi2-core	2.52.0-1build1
libatk1.0-0t64:amd64	2.52.0-1build1	at-spi2-core	2.52.0-1build1
libatk1.0-dev:amd64	2.52.0-1build1	at-spi2-core	2.52.0-1build1
libatomic1:amd64	14.2.0-4ubuntu2~24.04.1	gcc-14	14.2.0-4ubuntu2~24.04.1
