
(z8-desktop:411157): Gtk-CRITICAL **: 16:09:09.949: gtk_widget_event: assertion 'WIDGET_REALIZED_FOR_EVENT (widget, event)' failed

(z8-desktop:411157): Gtk-CRITICAL **: 16:09:12.362: gtk_widget_event: assertion 'WIDGET_REALIZED_FOR_EVENT (widget, event)' failed

(z8-desktop:411157): Gtk-CRITICAL **: 16:09:27.756: gtk_widget_event: assertion 'WIDGET_REALIZED_FOR_EVENT (widget, event)' failed

(z8-desktop:411157): Gtk-CRITICAL **: 16:09:29.587: gtk_widget_event: assertion 'WIDGET_REALIZED_FOR_EVENT (widget, event)' failed

(z8-desktop:411157): Gtk-CRITICAL **: 16:09:29.593: gtk_widget_event: assertion 'WIDGET_REALIZED_FOR_EVENT (widget, event)' failed

(z8-desktop:411157): Gtk-CRITICAL **: 16:09:36.788: gtk_widget_event: assertion 'WIDGET_REALIZED_FOR_EVENT (widget, event)' failed

(z8-desktop:411157): Gtk-CRITICAL **: 16:09:43.594: gtk_widget_event: assertion 'WIDGET_REALIZED_FOR_EVENT (widget, event)' failed

(z8-desktop:411157): Gtk-CRITICAL **: 16:09:43.600: gtk_widget_event: assertion 'WIDGET_REALIZED_FOR_EVENT (widget, event)' failed

(z8-desktop:411157): Gtk-CRITICAL **: 16:09:45.548: gtk_widget_event: assertion 'WIDGET_REALIZED_FOR_EVENT (widget, event)' failed

(z8-desktop:411157): Gtk-CRITICAL **: 16:09:45.555: gtk_widget_event: assertion 'WIDGET_REALIZED_FOR_EVENT (widget, event)' failed

(z8-desktop:411157): Gtk-CRITICAL **: 16:09:47.513: gtk_widget_event: assertion 'WIDGET_REALIZED_FOR_EVENT (widget, event)' failed

(z8-desktop:411157): Gtk-CRITICAL **: 16:09:49.526: gtk_widget_event: assertion 'WIDGET_REALIZED_FOR_EVENT (widget, event)' failed

(z8-desktop:411157): Gtk-CRITICAL **: 16:09:51.616: gtk_widget_event: assertion 'WIDGET_REALIZED_FOR_EVENT (widget, event)' failed

(z8-desktop:411157): Gtk-CRITICAL **: 16:09:53.688: gtk_widget_event: assertion 'WIDGET_REALIZED_FOR_EVENT (widget, event)' failed

(z8-desktop:411157): Gtk-CRITICAL **: 16:09:53.694: gtk_widget_event: assertion 'WIDGET_REALIZED_FOR_EVENT (widget, event)' failed

(z8-desktop:411157): Gtk-CRITICAL **: 16:09:55.767: gtk_widget_event: assertion 'WIDGET_REALIZED_FOR_EVENT (widget, event)' failed

(z8-desktop:411157): Gtk-CRITICAL **: 16:10:02.133: gtk_widget_event: assertion 'WIDGET_REALIZED_FOR_EVENT (widget, event)' failed

(z8-desktop:411157): Gtk-CRITICAL **: 16:10:09.957: gtk_widget_event: assertion 'WIDGET_REALIZED_FOR_EVENT (widget, event)' failed

(z8-desktop:411157): Gtk-CRITICAL **: 16:10:11.821: gtk_widget_event: assertion 'WIDGET_REALIZED_FOR_EVENT (widget, event)' failed

(z8-desktop:411157): Gtk-CRITICAL **: 16:10:13.625: gtk_widget_event: assertion 'WIDGET_REALIZED_FOR_EVENT (widget, event)' failed

(z8-desktop:411157): Gtk-CRITICAL **: 16:10:13.633: gtk_widget_event: assertion 'WIDGET_REALIZED_FOR_EVENT (widget, event)' failed

(z8-desktop:411157): Gtk-CRITICAL **: 16:10:26.638: gtk_widget_event: assertion 'WIDGET_REALIZED_FOR_EVENT (widget, event)' failed

(z8-desktop:411157): Gtk-CRITICAL **: 16:10:28.552: gtk_widget_event: assertion 'WIDGET_REALIZED_FOR_EVENT (widget, event)' failed

(z8-desktop:411157): Gtk-CRITICAL **: 16:10:28.559: gtk_widget_event: assertion 'WIDGET_REALIZED_FOR_EVENT (widget, event)' failed
